Abbreviated reference,Habitat,Growing system,Vascularization,Group,Group1,Functional group,Class,Species,Category,ala_d15N,asx_d15N,glu_d15N,ile_d15N,leu_d15N,pro_d15N,val_d15N,gly_d15N,lys_d15N,phe_d15N,ser_d15N,met_d15N,thr_d15N,Beta_glx-phe
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum filicinum,brown algae,6.7,na,5.8,5.1,2.3,6.7,7.7,-1.9,,3.5,-2.1,1.4,na,2.3
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Undaria pinnatifida,brown algae,7.5,na,6.3,5.1,4.5,5,6.2,-1.3,,3.5,-2.6,1.4,na,2.8
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum filicinum,brown algae,7.3,na,6.3,5.8,2.8,7.2,8.4,-1.5,,4.1,-1.6,2,na,2.2
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Undaria pinnatifida,brown algae,8,na,6.9,5.7,5.1,5.4,6.8,-0.7,,4.1,-2.1,2,na,2.8
Chikaraishi et al. 2009,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum filicinum,brown algae,7.9,na,8.2,7.2,4.6,9,9.3,-0.8,,4.4,1.6,2.5,na,3.8
Chikaraishi et al. 2014,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Ecklonia cava,brown algae,8.2,na,9.3,7.8,7.9,9.2,9.4,2.7,,5.4,2,4.6,na,3.9
Chikaraishi et al. 2014,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Eisenia bicyclis,brown algae,9.3,na,9.4,8.2,9.1,8.8,10,3.1,,6.5,-1.6,3.8,na,2.9
Ishikawa et al. 2018,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Ishige okamurae,brown algae,na,na,8.3,na,na,na,na,na,,4.9,na,-0.4,na,3.4
Ishikawa et al. 2018,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum fulvellum,brown algae,na,na,9.5,na,na,na,na,na,,6.4,na,1.3,na,3.1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,12.2,14,14,9.3,12.3,13.2,12.4,9.4,13.3,11.3,na,10.5,12.2,2.7
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,11.9,12,12.8,8.6,10.2,10.5,11.5,9.9,9.2,10.4,8.1,8.7,9.2,2.4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,12.4,13.4,13.9,9.4,11.4,12.5,13.3,10.7,11.5,11.8,5,10,11.5,2.1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,11.6,11.5,12.8,10.4,9.7,7.5,12.4,7.4,2.7,11,8.2,na,9.7,1.8
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,10.8,11.5,12.7,9.1,10.5,9.2,11.3,7.3,7.6,10.5,4.1,8.8,6.9,2.2
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,11.7,12.4,13.1,10.7,11.3,12.1,12.7,6,10,11.6,9.6,na,8.7,1.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,10.7,10.1,12.8,na,8.3,9.1,na,3.4,4.3,10.4,na,na,na,2.4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,7,11,12.4,8.5,8.2,3.7,9.3,4.5,-0.8,10.2,na,7.9,5.5,2.2
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,11,11.5,12.4,7,8.3,3.9,10.5,4.5,0.7,11.4,4.7,8.6,9.9,1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,9.2,9.8,10.7,na,7.3,5.3,9.1,4.2,1.3,7.2,1.2,na,2.5,3.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,7.9,8.8,9.7,na,6.2,7.6,7.3,2.2,2.4,6.2,na,na,na,3.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,8.9,9.1,10.2,5.2,6.6,8.8,8.2,4.4,7,6.9,0.2,na,4.5,3.3
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,6.9,7.3,9,na,7.5,1.4,na,-2.5,-1.9,5.6,na,na,na,3.4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,6.6,7.9,8.6,na,6,7.7,6.8,0.2,5.1,7.2,na,na,na,1.4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,na,10.2,6.7,na,na,na,na,na,,,na,na,na,6.7
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,12.1,8.5,8.7,na,11.2,9.5,na,4.8,7.5,9.6,na,na,na,-0.9
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,11.2,10.9,12.1,na,9.6,11,na,4.2,7.7,10.3,na,6.1,1.2,1.8
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,10.3,10.4,11.9,na,10.1,10.2,na,3.9,6.6,9.8,na,na,na,2.1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Ascophyllum nodosum,brown algae,8.2,1.3,13.9,na,4.8,8.3,9.1,4.8,9.6,8.4,3.7,na,6.4,5.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Ascophyllum nodosum,brown algae,9.8,14.1,16.9,na,14.1,13.6,na,5.9,14.7,12,6.4,na,13,4.9
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Bifurcaria bifurcata,brown algae,3.1,9,7.8,na,6.5,5.8,5.5,-2.7,6.9,5.5,-1.7,na,2.7,2.3
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Ericaria selaginoides,brown algae,4.9,5.5,11.7,na,6.3,1.3,8.1,1.6,1,8.2,2.7,na,10.5,3.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus serratus,brown algae,9.5,5.3,4.4,na,2.2,6.3,na,1.1,4.5,3.3,na,na,na,1.1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Gongolaria baccata,brown algae,7.7,8.8,9.4,3.8,6.6,8.6,9.7,3.6,7.8,8,2.7,9.5,9.6,1.4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum fluitans,brown algae,5.4,1,2.8,na,-4.6,1,0.9,-3.7,-2.1,-2.4,0.3,na,-12.6,5.2
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum muticum,brown algae,10.6,9.7,15.3,na,9.7,12.1,12.3,3.9,8.5,10,4.6,na,12,5.3
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Laminaria ochroleuca,brown algae,4.7,6.3,5.3,1.3,2.3,-0.3,5.2,-2.9,-1.3,5.1,-2.5,5.8,4.8,0.2
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Laminaria ochroleuca,brown algae,4.6,5.7,6.1,-1.2,1.7,6.5,2.7,-2.8,4.2,3.9,-8.4,3,6,2.2
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Saccorhiza polyschides,brown algae,9.2,10.1,10.4,8,7.7,1.4,9.4,3.4,1.8,8.5,1.5,8,7.5,1.9
